"owners","time","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","playoff","semi_win","champ_prob"
"aj",2018-10-14 19:55:08,1,1,1,1,1,0.99398,0.6269,0.60416,0.52106,0.2603,0.57834,0.60726,0.49504,0.97904,0.56688,0.29058
"devon",2018-10-14 19:55:08,0,0,0,0,1,0.36136,0.3731,0.69762,0.2986,0.50956,0.4885,0.65982,0.56592,0.1368,0.05604,0.0306
"comp",2018-10-14 19:55:08,1,0,0,0,1,0.63864,0.4237,0.61506,0.68488,0.39584,0.30666,0.39274,0.2067,0.06568,0.01738,0.00436
"chad",2018-10-14 19:55:08,0,0,1,1,0,0.45142,0.67434,0.43856,0.62096,0.7397,0.58498,0.65986,0.7933,0.64336,0.39286,0.2244
"lucas",2018-10-14 19:55:08,1,1,0,0,1,0.54858,0.5763,0.39584,0.54782,0.49044,0.4658,0.244,0.5825,0.29232,0.06714,0.0197
"perry",2018-10-14 19:55:08,0,0,0,1,0,0.63066,0.32566,0.38494,0.47894,0.36014,0.5342,0.56292,0.43408,0.06248,0.02732,0.01418
"matty",2018-10-14 19:55:08,1,1,1,1,0,0.36934,0.62014,0.48738,0.37904,0.73078,0.69334,0.34018,0.50496,0.76122,0.40476,0.18558
"seth",2018-10-14 19:55:08,0,0,0,0,1,0.74688,0.3156,0.30238,0.31512,0.26922,0.42166,0.34014,0.4175,0.02024,0.00584,0.00138
"scott",2018-10-14 07:47:33,0,1,1,0,0,0.60828,0.3802,0.56558,0.45456,0.61446,0.50852,0.43572,0.52562,0.33036,0.16728,0.08472
"cory",2018-10-14 07:47:33,1,1,1,1,0,0.23554,0.68334,0.5132,0.70092,0.64548,0.4157,0.7551,0.47438,0.7976,0.33582,0.162
"aj",2018-10-14 07:47:33,1,1,1,1,1,0.76446,0.6248,0.60326,0.5184,0.25964,0.5802,0.6076,0.47392,0.9587,0.5424,0.2782
"devon",2018-10-14 07:47:33,0,0,0,0,1,0.71042,0.3752,0.69814,0.29908,0.50806,0.49148,0.65108,0.56358,0.17528,0.07204,0.03844
"comp",2018-10-14 07:47:33,1,0,0,0,1,0.28958,0.42394,0.61276,0.68388,0.38554,0.30694,0.3924,0.20438,0.03676,0.0095,0.0025
"chad",2018-10-14 07:47:33,0,0,1,1,0,0.35672,0.67456,0.43442,0.6212,0.74036,0.5843,0.66166,0.79562,0.58028,0.35416,0.2024
"lucas",2018-10-14 07:47:33,1,1,0,0,1,0.64328,0.57606,0.39674,0.54544,0.49194,0.46304,0.2449,0.58466,0.31212,0.07284,0.02152
"perry",2018-10-14 07:47:33,0,0,0,1,0,0.65248,0.32544,0.38724,0.4816,0.35452,0.53696,0.56428,0.43642,0.0591,0.02484,0.0128
"matty",2018-10-14 07:47:33,1,1,1,1,0,0.34752,0.6198,0.4868,0.3788,0.73176,0.69306,0.34892,0.52608,0.73846,0.41798,0.19634
"seth",2018-10-14 07:47:33,0,0,0,0,1,0.39172,0.31666,0.30186,0.31612,0.26824,0.4198,0.33834,0.41534,0.01134,0.00314,0.00108
"scott",2018-10-12 08:44:49,0,1,1,0,0,0.60106,0.38086,0.56714,0.45184,0.65322,0.50852,0.4368,0.5261,0.33064,0.16904,0.0877
"cory",2018-10-12 08:44:49,1,1,1,1,0,0.24342,0.6836,0.51236,0.70042,0.64178,0.41264,0.75526,0.4739,0.80002,0.34078,0.16458
"aj",2018-10-12 08:44:49,1,1,1,1,1,0.75658,0.6238,0.59108,0.5139,0.23462,0.57658,0.60644,0.47682,0.95576,0.53174,0.2726
"devon",2018-10-12 08:44:49,0,0,0,0,1,0.73342,0.3762,0.69684,0.29958,0.50902,0.49148,0.65002,0.56552,0.17594,0.07234,0.03988
"comp",2018-10-12 08:44:49,1,0,0,0,1,0.26658,0.40038,0.60618,0.6692,0.34678,0.3083,0.39356,0.20392,0.03194,0.00832,0.00222
"chad",2018-10-12 08:44:49,0,0,1,1,0,0.39882,0.67638,0.43286,0.62214,0.76538,0.58736,0.65998,0.79608,0.58826,0.35708,0.20454
"lucas",2018-10-12 08:44:49,1,1,0,0,1,0.60118,0.59962,0.40892,0.54816,0.49098,0.46402,0.24474,0.58214,0.3106,0.07576,0.02176
"perry",2018-10-12 08:44:49,0,0,0,1,0,0.64778,0.32362,0.39382,0.4861,0.35822,0.53598,0.5632,0.43448,0.05588,0.02418,0.01246
"matty",2018-10-12 08:44:49,1,1,1,1,0,0.35222,0.61914,0.48764,0.37786,0.7299,0.6917,0.34998,0.52318,0.73894,0.4174,0.19354
"seth",2018-10-12 08:44:49,0,0,0,0,1,0.39894,0.3164,0.30316,0.3308,0.2701,0.42342,0.34002,0.41786,0.01202,0.00336,0.00072
"scott",2018-10-11 09:57:03,0,1,1,0,0,0.50764,0.37754,0.56704,0.45358,0.65564,0.5098,0.43594,0.52608,0.306,0.15388,0.07866
"cory",2018-10-11 09:57:03,1,1,1,1,0,0.32992,0.68366,0.51188,0.69948,0.63802,0.41352,0.75538,0.47392,0.8261,0.34196,0.16384
"aj",2018-10-11 09:57:03,1,1,1,1,1,0.67008,0.62544,0.58748,0.51166,0.26716,0.58432,0.61942,0.47696,0.9541,0.51972,0.2647
"devon",2018-10-11 09:57:03,0,0,0,0,1,0.6069,0.37456,0.69906,0.30052,0.50786,0.4902,0.65512,0.56348,0.14394,0.05814,0.03192
"comp",2018-10-11 09:57:03,1,0,0,0,1,0.3931,0.39936,0.60624,0.6663,0.34436,0.30806,0.38058,0.20554,0.03722,0.00972,0.00256
"chad",2018-10-11 09:57:03,0,0,1,1,0,0.6616,0.67384,0.43296,0.61886,0.73284,0.58648,0.6581,0.79446,0.65418,0.39434,0.22586
"lucas",2018-10-11 09:57:03,1,1,0,0,1,0.3384,0.60064,0.41252,0.54642,0.49214,0.46542,0.24462,0.58374,0.23024,0.05506,0.0167
"perry",2018-10-11 09:57:03,0,0,0,1,0,0.45942,0.32616,0.39376,0.48834,0.36198,0.53458,0.56406,0.43652,0.04404,0.0191,0.0099
"matty",2018-10-11 09:57:03,1,1,1,1,0,0.54058,0.62246,0.48812,0.38114,0.7302,0.69194,0.34488,0.52304,0.79106,0.4447,0.20504
"seth",2018-10-11 09:57:03,0,0,0,0,1,0.49236,0.31634,0.30094,0.3337,0.2698,0.41568,0.3419,0.41626,0.01312,0.00338,0.00082
"scott",2018-10-10 10:15:51,0,1,1,0,0,0.47558,0.37918,0.567,0.47678,0.65306,0.50796,0.43002,0.54868,0.31392,0.15168,0.07792
"cory",2018-10-10 10:15:51,1,1,1,1,0,0.29002,0.62754,0.51564,0.74498,0.64682,0.42086,0.77608,0.45132,0.82784,0.37928,0.1848
"aj",2018-10-10 10:15:51,1,1,1,1,1,0.70998,0.62566,0.58522,0.51354,0.26736,0.583,0.61976,0.47272,0.95904,0.51488,0.26114
"devon",2018-10-10 10:15:51,0,0,0,0,1,0.63032,0.37434,0.61762,0.25502,0.51192,0.49204,0.65152,0.5374,0.12562,0.0485,0.02588
"comp",2018-10-10 10:15:51,1,0,0,0,1,0.36968,0.40456,0.60276,0.66678,0.34694,0.3422,0.38024,0.19714,0.03912,0.00908,0.00236
"chad",2018-10-10 10:15:51,0,0,1,1,0,0.64818,0.67894,0.433,0.62702,0.73264,0.57914,0.661,0.80286,0.65668,0.38216,0.21802
"lucas",2018-10-10 10:15:51,1,1,0,0,1,0.35182,0.59544,0.41478,0.52322,0.48808,0.44944,0.22392,0.56206,0.21894,0.05022,0.01418
"perry",2018-10-10 10:15:51,0,0,0,1,0,0.40558,0.32106,0.39724,0.48646,0.35318,0.55056,0.56998,0.4626,0.04382,0.01718,0.00934
"matty",2018-10-10 10:15:51,1,1,1,1,0,0.59442,0.62082,0.48436,0.37298,0.72848,0.6578,0.34848,0.52728,0.7976,0.44306,0.20536
"seth",2018-10-10 10:15:51,0,0,0,0,1,0.52442,0.37246,0.38238,0.33322,0.27152,0.417,0.339,0.43794,0.01742,0.00396,0.001
"scott",2018-10-09 08:29:33,0,1,1,0,0,0.47146,0.37986,0.56354,0.4057,0.6343,0.51594,0.42826,0.55366,0.31042,0.1498,0.07634
"cory",2018-10-09 08:29:33,1,1,1,1,0,0.29984,0.62728,0.51782,0.76242,0.64448,0.35852,0.73184,0.44634,0.79098,0.36498,0.18454
"aj",2018-10-09 08:29:33,1,1,1,1,1,0.70016,0.62656,0.52524,0.51674,0.25982,0.61458,0.64474,0.46162,0.94998,0.51446,0.2755
"devon",2018-10-09 08:29:33,0,0,0,0,1,0.62674,0.37344,0.61596,0.23758,0.42372,0.48406,0.65052,0.52076,0.11214,0.04324,0.02314
"comp",2018-10-09 08:29:33,1,0,0,0,1,0.37326,0.31776,0.61054,0.66304,0.3657,0.33728,0.35526,0.19776,0.03114,0.0078,0.00192
"chad",2018-10-09 08:29:33,0,0,1,1,0,0.5676,0.6397,0.43646,0.60976,0.74018,0.64148,0.60132,0.80224,0.62916,0.3723,0.18586
"lucas",2018-10-09 08:29:33,1,1,0,0,1,0.4324,0.68224,0.47476,0.5943,0.57628,0.40394,0.26816,0.6128,0.32366,0.0894,0.0352
"perry",2018-10-09 08:29:33,0,0,0,1,0,0.40984,0.3603,0.38946,0.48326,0.35552,0.59606,0.57174,0.47924,0.0523,0.02156,0.01054
"matty",2018-10-09 08:29:33,1,1,1,1,0,0.59016,0.62014,0.48218,0.39024,0.72808,0.66272,0.34948,0.53838,0.7804,0.43158,0.20616
"seth",2018-10-09 08:29:33,0,0,0,0,1,0.52854,0.37272,0.38404,0.33696,0.27192,0.38542,0.39868,0.3872,0.01982,0.00488,8e-04
"scott",2018-10-08 08:50:30,0,1,1,0,0.20034,0.48842,0.3037,0.59526,0.63206,0.67228,0.5329,0.47332,0.66888,0.44364,0.20534,0.10976
"cory",2018-10-08 08:50:30,1,1,1,1,0.72414,0.33956,0.66474,0.50006,0.65756,0.51036,0.26964,0.73302,0.33112,0.84622,0.33098,0.11832
"aj",2018-10-08 08:50:30,1,1,1,1,1,0.66044,0.57714,0.66264,0.44628,0.27558,0.6373,0.56096,0.37718,0.95028,0.48744,0.21686
"devon",2018-10-08 08:50:30,0,0,0,0,0.27586,0.42404,0.42286,0.5901,0.34244,0.50676,0.4671,0.53058,0.4795,0.03692,0.01072,0.00442
"comp",2018-10-08 08:50:30,1,0,0,0,0.82284,0.57596,0.40514,0.70848,0.57096,0.32772,0.34238,0.43904,0.26266,0.05614,0.02042,0.00754
"chad",2018-10-08 08:50:30,0,0,1,1,0.17716,0.59788,0.58204,0.40474,0.64002,0.72442,0.73036,0.60954,0.73734,0.60566,0.3538,0.16458
"lucas",2018-10-08 08:50:30,1,1,0,0,0.79966,0.40212,0.59486,0.33736,0.36794,0.49324,0.30024,0.26698,0.49496,0.11666,0.03466,0.01474
"perry",2018-10-08 08:50:30,0,0,0,1,0,0.46918,0.41796,0.29152,0.55372,0.48964,0.69976,0.52668,0.5205,0.06394,0.0244,0.0128
"matty",2018-10-08 08:50:30,1,1,1,1,0,0.53082,0.6963,0.49994,0.35998,0.72922,0.65762,0.46942,0.62282,0.86256,0.52714,0.34926
"seth",2018-10-08 08:50:30,0,0,0,0,1,0.51158,0.33526,0.4099,0.42904,0.27078,0.3627,0.39046,0.50504,0.01798,0.0051,0.00172
"scott",2018-10-07 08:56:40,0,1,1,0,0.6083,0.49052,0.30332,0.59678,0.6323,0.67244,0.53184,0.47384,0.67088,0.4903,0.22052,0.11572
"cory",2018-10-07 08:56:40,1,1,1,1,0.25424,0.3384,0.65656,0.49742,0.68366,0.51084,0.27176,0.72936,0.32912,0.75484,0.29072,0.10308
"aj",2018-10-07 08:56:40,1,1,1,1,0.50136,0.6616,0.57712,0.66354,0.4457,0.27384,0.63612,0.56112,0.38158,0.88674,0.44344,0.1967
"devon",2018-10-07 08:56:40,0,0,0,0,0.74576,0.42316,0.42288,0.58584,0.31634,0.50576,0.46816,0.52766,0.47636,0.05246,0.01528,0.0067
"comp",2018-10-07 08:56:40,1,0,0,0,0.37788,0.57684,0.41246,0.71484,0.60388,0.32756,0.34132,0.43888,0.26826,0.04418,0.0151,0.00578
"chad",2018-10-07 08:56:40,0,0,1,1,0.62212,0.59664,0.58342,0.40322,0.64054,0.72616,0.72824,0.60998,0.73174,0.67092,0.39288,0.17532
"lucas",2018-10-07 08:56:40,1,1,0,0,0.3917,0.40336,0.58754,0.33646,0.3677,0.49424,0.30234,0.27064,0.49236,0.0851,0.0241,0.00998
"perry",2018-10-07 08:56:40,0,0,0,1,0.56996,0.46794,0.41658,0.28516,0.5543,0.48916,0.69766,0.52616,0.52364,0.10526,0.0381,0.01966
"matty",2018-10-07 08:56:40,1,1,1,1,0.49864,0.53206,0.69668,0.50258,0.35946,0.75978,0.65868,0.47234,0.61842,0.9028,0.55804,0.3664
"seth",2018-10-07 08:56:40,0,0,0,0,0.43004,0.50948,0.34344,0.41416,0.39612,0.24022,0.36388,0.39002,0.50764,0.0074,0.00182,0.00066
"scott",2018-10-05 12:19:40,0,1,1,0,0.61366,0.4901,0.30074,0.5968,0.63328,0.67414,0.53406,0.4733,0.668,0.48738,0.21474,0.11464
"cory",2018-10-05 12:19:40,1,1,1,1,0.25546,0.3532,0.65948,0.4979,0.68292,0.50952,0.26992,0.73186,0.332,0.75826,0.29218,0.10386
"aj",2018-10-05 12:19:40,1,1,1,1,0.5132,0.6468,0.5786,0.66068,0.44634,0.27336,0.63284,0.5602,0.38102,0.88548,0.44588,0.19618
"devon",2018-10-05 12:19:40,0,0,0,0,0.74454,0.4242,0.4214,0.58732,0.31708,0.50572,0.46594,0.52762,0.4803,0.05392,0.01586,0.00744
"comp",2018-10-05 12:19:40,1,0,0,0,0.38194,0.5758,0.41388,0.71394,0.60668,0.32586,0.34036,0.4398,0.2705,0.04346,0.01484,0.00572
"chad",2018-10-05 12:19:40,0,0,1,1,0.61806,0.59732,0.5825,0.4032,0.63886,0.72664,0.73008,0.6094,0.7295,0.667,0.3923,0.1756
"lucas",2018-10-05 12:19:40,1,1,0,0,0.38634,0.40268,0.58612,0.33932,0.36672,0.49428,0.29954,0.26814,0.49106,0.08562,0.02438,0.00998
"perry",2018-10-05 12:19:40,0,0,0,1,0.62382,0.46698,0.4175,0.28606,0.55366,0.49048,0.70046,0.5267,0.5197,0.1124,0.04246,0.0229
"matty",2018-10-05 12:19:40,1,1,1,1,0.4868,0.53302,0.69926,0.5021,0.36114,0.76016,0.65964,0.47238,0.61898,0.9008,0.5561,0.36338
"seth",2018-10-05 12:19:40,0,0,0,0,0.37618,0.5099,0.34052,0.41268,0.39332,0.23984,0.36716,0.3906,0.50894,0.00568,0.00126,3e-04
"scott",2018-10-05 10:02:06,0,1,1,0,0.60668,0.49108,0.3007,0.59432,0.63396,0.67112,0.51848,0.47202,0.6697,0.49114,0.22896,0.12374
"cory",2018-10-05 10:02:06,1,1,1,1,0.28518,0.41416,0.65864,0.49864,0.63066,0.5083,0.27054,0.72876,0.3303,0.7685,0.3121,0.11442
"aj",2018-10-05 10:02:06,1,1,1,1,0.48298,0.58584,0.48952,0.58894,0.39164,0.26984,0.55822,0.45626,0.3364,0.79074,0.33612,0.12304
"devon",2018-10-05 10:02:06,0,0,0,0,0.71482,0.46396,0.51048,0.66338,0.36934,0.49474,0.48152,0.6216,0.5256,0.09244,0.03456,0.01644
"comp",2018-10-05 10:02:06,1,0,0,0,0.38068,0.53604,0.4135,0.71496,0.60494,0.32888,0.34164,0.54374,0.271,0.05404,0.01942,0.00704
"chad",2018-10-05 10:02:06,0,0,1,1,0.61932,0.597,0.58024,0.40568,0.64234,0.73016,0.72946,0.61002,0.729,0.67126,0.41348,0.19064
"lucas",2018-10-05 10:02:06,1,1,0,0,0.39332,0.403,0.5865,0.41106,0.36604,0.50526,0.30068,0.27124,0.49414,0.10314,0.03032,0.01282
"perry",2018-10-05 10:02:06,0,0,0,1,0.624,0.46992,0.41976,0.28504,0.60836,0.4917,0.69932,0.52798,0.4744,0.11874,0.04588,0.02398
"matty",2018-10-05 10:02:06,1,1,1,1,0.51702,0.53008,0.6993,0.50136,0.35766,0.7625,0.65836,0.3784,0.6636,0.90376,0.57726,0.38728
"seth",2018-10-05 10:02:06,0,0,0,0,0.376,0.50892,0.34136,0.33662,0.39506,0.2375,0.44178,0.38998,0.50586,0.00624,0.0019,6e-04
"scott",2018-10-04 18:20:53,0,1,1,0,0.62052,0.48954,0.3025,0.5963,0.63434,0.67918,0.5176,0.47272,0.66662,0.49124,0.23118,0.12356
"cory",2018-10-04 18:20:53,1,1,1,1,0.57448,0.41584,0.66026,0.50122,0.6313,0.5086,0.27284,0.7314,0.33338,0.81018,0.3281,0.12056
"aj",2018-10-04 18:20:53,1,1,1,1,0.48046,0.58416,0.49128,0.58732,0.3935,0.27192,0.5568,0.4638,0.33524,0.79066,0.3347,0.12544
"devon",2018-10-04 18:20:53,0,0,0,0,0.42552,0.4834,0.50872,0.66414,0.3687,0.49428,0.4824,0.62604,0.52358,0.06256,0.02374,0.01156
"comp",2018-10-04 18:20:53,1,0,0,0,0.34064,0.5166,0.41482,0.71452,0.60616,0.32082,0.336,0.5362,0.27,0.04624,0.01648,0.0061
"chad",2018-10-04 18:20:53,0,0,1,1,0.65936,0.5967,0.5811,0.4037,0.6401,0.72808,0.72716,0.60964,0.73,0.68024,0.4171,0.19248
"lucas",2018-10-04 18:20:53,1,1,0,0,0.37948,0.4033,0.58518,0.41268,0.36566,0.50572,0.30132,0.2686,0.49248,0.0967,0.0277,0.01114
"perry",2018-10-04 18:20:53,0,0,0,1,0.62762,0.4664,0.4189,0.28548,0.6065,0.4914,0.69868,0.52728,0.47642,0.11574,0.04616,0.0243
"matty",2018-10-04 18:20:53,1,1,1,1,0.51954,0.5336,0.6975,0.49878,0.3599,0.76024,0.664,0.37396,0.66476,0.90084,0.57322,0.38438
"seth",2018-10-04 18:20:53,0,0,0,0,0.37238,0.51046,0.33974,0.33586,0.39384,0.23976,0.4432,0.39036,0.50752,0.0056,0.00162,0.00048
"scott",2018-10-04 14:01:44,0,1,1,0,0.75246,0.49046,0.30294,0.59552,0.63518,0.68246,0.51632,0.47276,0.6676,0.52036,0.24052,0.13144
"cory",2018-10-04 14:01:44,1,1,1,1,0.50106,0.4153,0.66118,0.49942,0.63294,0.51126,0.27142,0.73546,0.3324,0.79898,0.32464,0.11982
"aj",2018-10-04 14:01:44,1,1,1,1,0.3899,0.5847,0.48862,0.5888,0.39224,0.27066,0.55716,0.46234,0.33454,0.77268,0.32884,0.12022
"devon",2018-10-04 14:01:44,0,0,0,0,0.49894,0.48516,0.51138,0.66546,0.36706,0.49704,0.48368,0.62204,0.52514,0.0701,0.02626,0.01276
"comp",2018-10-04 14:01:44,1,0,0,0,0.34096,0.51484,0.41528,0.71276,0.6067,0.31754,0.3357,0.53766,0.26832,0.04594,0.01522,0.0055
"chad",2018-10-04 14:01:44,0,0,1,1,0.65904,0.6128,0.57986,0.40448,0.64232,0.72934,0.72858,0.60558,0.73168,0.68056,0.4175,0.19048
"lucas",2018-10-04 14:01:44,1,1,0,0,0.24754,0.3872,0.58472,0.4112,0.36482,0.50296,0.27766,0.26454,0.4908,0.07538,0.02152,0.00714
"perry",2018-10-04 14:01:44,0,0,0,1,0.67704,0.46782,0.42014,0.28724,0.60776,0.48874,0.72234,0.52724,0.47486,0.12248,0.04724,0.0258
"matty",2018-10-04 14:01:44,1,1,1,1,0.6101,0.53218,0.69706,0.50058,0.35768,0.7607,0.6643,0.37796,0.66546,0.90932,0.57704,0.38656
"seth",2018-10-04 14:01:44,0,0,0,0,0.32296,0.50954,0.33882,0.33454,0.3933,0.2393,0.44284,0.39442,0.5092,0.0042,0.00122,0.00028
"scott",2018-10-03 14:25:07,0,1,1,0,0.7167,0.50198,0.26568,0.58422,0.60104,0.70392,0.5273,0.48076,0.66132,0.4955,0.24096,0.12636
"cory",2018-10-03 14:25:07,1,1,1,1,0.48384,0.42608,0.6593,0.4703,0.65392,0.50552,0.28364,0.74986,0.33868,0.80518,0.32026,0.13036
"aj",2018-10-03 14:25:07,1,1,1,1,0.43022,0.57392,0.49024,0.59136,0.393,0.21598,0.54358,0.49384,0.33608,0.77302,0.32032,0.11268
"devon",2018-10-03 14:25:07,0,0,0,0,0.51616,0.48666,0.50976,0.66362,0.34608,0.4946,0.4727,0.62106,0.52452,0.06888,0.02606,0.01308
"comp",2018-10-03 14:25:07,1,0,0,0,0.32846,0.51334,0.4124,0.71572,0.60474,0.29608,0.33458,0.50616,0.26844,0.04314,0.01496,0.00526
"chad",2018-10-03 14:25:07,0,0,1,1,0.67154,0.61086,0.58088,0.41578,0.64354,0.78402,0.71636,0.60778,0.73156,0.69518,0.42574,0.19404
"lucas",2018-10-03 14:25:07,1,1,0,0,0.2833,0.38914,0.5876,0.40864,0.39896,0.5054,0.27726,0.25014,0.4932,0.0834,0.02404,0.00708
"perry",2018-10-03 14:25:07,0,0,0,1,0.6317,0.46952,0.41912,0.28428,0.607,0.49448,0.72274,0.51924,0.47548,0.11554,0.04412,0.0233
"matty",2018-10-03 14:25:07,1,1,1,1,0.56978,0.53048,0.73432,0.5297,0.35646,0.75936,0.66542,0.37894,0.66392,0.91452,0.58176,0.38714
"seth",2018-10-03 14:25:07,0,0,0,0,0.3683,0.49802,0.3407,0.33638,0.39526,0.24064,0.45642,0.39222,0.5068,0.00564,0.00178,7e-04
"scott",2018-10-02 22:10:39,0,1,1,0,0.67482,0.5041,0.2623,0.60882,0.60288,0.70238,0.52856,0.46444,0.6671,0.49468,0.23788,0.12436
"cory",2018-10-02 22:10:39,1,1,1,1,0.48564,0.37402,0.60408,0.46388,0.65482,0.49558,0.2761,0.74958,0.3329,0.775,0.33374,0.14226
"aj",2018-10-02 22:10:39,1,1,1,1,0.42938,0.62598,0.49426,0.62712,0.43618,0.23152,0.55382,0.52788,0.34058,0.82202,0.38994,0.1484
"devon",2018-10-02 22:10:39,0,0,0,0,0.51436,0.48716,0.50574,0.66476,0.34518,0.4937,0.47144,0.62438,0.5252,0.07166,0.02638,0.01298
"comp",2018-10-02 22:10:39,1,0,0,0,0.35062,0.51284,0.40956,0.71512,0.60624,0.29762,0.33254,0.47212,0.29398,0.04222,0.01512,0.00524
"chad",2018-10-02 22:10:39,0,0,1,1,0.64938,0.57834,0.58786,0.39118,0.61454,0.76848,0.7239,0.60214,0.70602,0.65718,0.3239,0.13052
"lucas",2018-10-02 22:10:39,1,1,0,0,0.32518,0.42166,0.59044,0.37288,0.39712,0.5063,0.27868,0.25042,0.49376,0.08536,0.02586,0.0085
"perry",2018-10-02 22:10:39,0,0,0,1,0.6337,0.46864,0.41214,0.28488,0.56382,0.50442,0.72132,0.53556,0.4748,0.1244,0.04758,0.02502
"matty",2018-10-02 22:10:39,1,1,1,1,0.57062,0.53136,0.7377,0.53612,0.38546,0.76466,0.66746,0.37562,0.65942,0.92092,0.59774,0.40204
"seth",2018-10-02 22:10:39,0,0,0,0,0.3663,0.4959,0.39592,0.33524,0.39376,0.23534,0.44618,0.39786,0.50624,0.00656,0.00186,0.00068
